Object C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20
DES_SN000642.DAT 303.0657552883146 259.9114674790856 88.02556930500822 38.71722771994611 56.74651369219694 33.85745756024682 -38.4985153317469 11.852553566613366 -50.12876237318245 11.336382744176737 -107.47484670229213 25.915200586427 -33.2193187030207 12.34730611462804 -31.620430331144846 18.437756448336906 19.94872505278456 -8.511162141734712 -49.28625375126009 27.524903905563292 14.362213786225844
DES_SN000742.DAT 287.6960010156403 192.15267830188682 -77.44588814422701 -40.552548328520814 22.433683286005703 19.4438391350106 53.71426066542122 -14.065141725481817 45.76795312732489 11.740552801862075 49.23096992443365 -118.24459501046722 60.99704138207396 -75.31387214923207 -37.08578083855939 11.0836110865825 -31.080855602097643 63.31974701601525 -41.18862395322288 33.340484969389934 -68.03012059372263
DES_SN000938.DAT 221.5933256029891 -61.18378061020262 148.64195399856405 15.481498859820709 122.04550962505661 -19.708969047472326 -5.866032425371017 -6.317488060408845 -26.919695331019387 32.38936684539238 15.09119917281501 -20.357040448374562 4.250555711963305 13.163789189829343 22.36174727185952 -2.929251337402661 -20.01819088843828 -1.2352695438220471 -6.4413154072582515 -35.02494728870681 -11.443150673681668
DES_SN001089.DAT 326.8246225857544 -79.56672631699148 119.37602840170698 54.9470983578796 -73.29072708405832 -20.428073947665013 31.740234245637676 8.901375957942843 -27.795706464042656 5.641536637546263 -7.087389003511243 -13.638567485398003 -12.858745880144252 21.152161450226014 23.85513359654652 10.320181051746152 0.4984201474640928 13.827594561513555 5.805701788001246 8.179069641566858 -14.329105228253047
DES_SN001362.DAT 484.6460950334996 34.08247660125207 29.92584780212524 67.07585880726182 18.188725578930697 27.353334962479558 1.7817579164317952 -23.908173135061702 3.856902370468239 7.827546246735875 -3.018540125366129 5.710566145010445 18.865003897195045 25.701051809709792 4.727776282947888 -3.845987829202965 15.738029083145257 -16.42307228238395 5.9961976634999425 10.314196605701287 -4.887217902488253
DES_SN001537.DAT 108.11589182890988 -124.90256345585895 148.88591756533614 -26.31367164533313 57.98889399957084 -2.416614891476454 -2.8141393267346047 -14.53683348889711 -10.357360922838359 -27.441040325385284 42.332741748866965 7.423278517241027 26.836627185415068 7.036317220444399 22.833394226174114 37.23759490120714 -7.820343803607347 20.33557958740178 23.658865543314434 43.531685742192224 -25.19500327024244
DES_SN001670.DAT 292.0092860865233 90.49256747221138 -15.005797683537468 14.875687444070422 93.68737726269931 49.813339520932225 87.63100369913099 7.263471252454858 7.562847907140008 -9.062610236907705 -58.14790090257445 -26.38938127673805 4.871612847337225 17.91263086202176 -37.29531573322426 -29.945349743746693 -25.592239699801805 -3.2817598878169387 -8.118425174395496 -1.7063760253527402 -3.069224721032909
DES_SN001695.DAT -3.6830167288412152 -241.26915493561168 -24.077874149623373 17.427138208791806 11.351291128338147 -18.96106813281008 82.0433180535444 23.44158765850346 44.71553143387807 -3.2703448978983363 -17.02173442013483 10.253563251575013 -5.475551305017255 10.018152799742008 -39.205224136544466 -13.85757814645526 -9.231621720412104 25.317574540838404 11.78656848093351 43.453766460095814 -5.587099531663526
DES_SN001927.DAT 535.7733284389404 -50.99418413793427 -25.513827887462167 13.775445139718489 -59.588395391663795 28.275875076172973 -37.714995197812186 -16.519851206730927 29.050638157576927 -23.284740964420838 -10.234856059630546 23.82467234372982 -4.8049263076439885 -22.558217859661475 -11.472807311368983 -6.454269433932527 2.7443917074346365 10.040010029212679 -10.177343459480344 -8.170879284816577 -0.07681534173449656
DES_SN001936.DAT 513.7978436910857 -25.2884936113416 56.56003583185459 16.447042075763708 -7.35744528464795 -21.552174153904176 -3.26959961962525 -7.223487775414033 12.655914710212311 9.911036748706602 17.741056305802324 -3.2318461688640108 6.563696326947261 8.073874964409809 4.143402363165564 5.875283558299868 -16.282620555504106 10.44793053415535 -1.032239072500722 -15.625251954421277 1.1790602497591474
